epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,589.324,0.84611,0.43172,0.94671,0.93595,0.88519,0.93251,0.56392,1.2942,0.67848,1.10033,0.000167565,0.000167565,0.000167565
160,593.068,0.85754,0.45196,0.96556,0.9165,0.8878,0.93344,0.56458,1.30066,0.66975,1.11236,0.000163759,0.000163759,0.000163759
161,596.714,0.85197,0.42441,0.96253,0.89989,0.89645,0.93189,0.57069,1.30025,0.66366,1.12017,0.000159952,0.000159952,0.000159952
162,600.905,0.83048,0.42538,0.94271,0.89522,0.90718,0.93427,0.57393,1.28917,0.63087,1.10512,0.000156145,0.000156145,0.000156145
163,604.557,0.83146,0.43014,0.95682,0.91613,0.91113,0.94098,0.56439,1.28707,0.62509,1.09669,0.000152339,0.000152339,0.000152339
164,608.197,0.84794,0.43416,0.95975,0.91867,0.90587,0.93493,0.56647,1.28803,0.61556,1.09905,0.000148532,0.000148532,0.000148532
165,611.878,0.81726,0.42327,0.94738,0.91239,0.90187,0.93565,0.56425,1.28628,0.60686,1.0985,0.000144726,0.000144726,0.000144726
166,615.499,0.86398,0.45399,0.99102,0.92476,0.8914,0.9367,0.56473,1.28853,0.59812,1.10036,0.000140919,0.000140919,0.000140919
167,619.122,0.77937,0.4131,0.9418,0.90436,0.90041,0.92829,0.56239,1.30219,0.61293,1.1122,0.000137113,0.000137113,0.000137113
168,622.777,0.8173,0.41249,0.92619,0.91358,0.91314,0.92946,0.56179,1.31073,0.61001,1.12432,0.000133306,0.000133306,0.000133306
169,626.412,0.85195,0.41972,0.97436,0.91551,0.91372,0.92926,0.56988,1.31614,0.60615,1.12669,0.0001295,0.0001295,0.0001295
170,630.114,0.80445,0.40967,0.9479,0.91119,0.9168,0.92963,0.56964,1.30164,0.60574,1.12098,0.000125693,0.000125693,0.000125693
171,633.777,0.8379,0.43911,0.95851,0.90716,0.91241,0.92685,0.57062,1.29949,0.60065,1.10231,0.000121887,0.000121887,0.000121887
172,637.441,0.79075,0.40378,0.92979,0.89778,0.9099,0.92756,0.56242,1.28782,0.60854,1.09418,0.00011808,0.00011808,0.00011808
173,641.029,0.7917,0.42467,0.93115,0.89463,0.90794,0.92181,0.56298,1.27837,0.60891,1.09035,0.000114273,0.000114273,0.000114273
174,644.668,0.78,0.41912,0.93002,0.91277,0.87999,0.92234,0.56353,1.28347,0.63137,1.09178,0.000110467,0.000110467,0.000110467
175,648.32,0.82497,0.41899,0.96301,0.91085,0.88199,0.9216,0.55972,1.30137,0.63573,1.10242,0.00010666,0.00010666,0.00010666
176,651.947,0.7703,0.39748,0.92964,0.90384,0.88636,0.91711,0.55424,1.30563,0.63975,1.11227,0.000102854,0.000102854,0.000102854
177,655.517,0.7772,0.42076,0.9384,0.90701,0.89105,0.92083,0.55647,1.30069,0.64165,1.11005,9.90472e-05,9.90472e-05,9.90472e-05
178,659.17,0.80352,0.4094,0.94782,0.91866,0.88968,0.91961,0.55684,1.29655,0.6403,1.10859,9.52406e-05,9.52406e-05,9.52406e-05
179,662.802,0.78934,0.3991,0.94749,0.92071,0.90088,0.92151,0.56401,1.2996,0.62293,1.12613,9.14341e-05,9.14341e-05,9.14341e-05
180,666.443,0.77596,0.39537,0.94308,0.93689,0.90155,0.92322,0.56561,1.30308,0.62401,1.12351,8.76275e-05,8.76275e-05,8.76275e-05
181,670.028,0.78054,0.38743,0.9389,0.93586,0.90978,0.92316,0.56789,1.31622,0.62246,1.12564,8.3821e-05,8.3821e-05,8.3821e-05
182,673.626,0.75543,0.3854,0.92745,0.93269,0.89894,0.92587,0.56581,1.32196,0.62267,1.12093,8.00144e-05,8.00144e-05,8.00144e-05
