epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,527.057,1.1583,0.65395,0.83031,0.52357,0.47401,0.47483,0.25531,1.38053,0.87647,0.8408,0.000368229,0.000368229,0.000368229
80,533.889,1.18435,0.75911,0.86146,0.52357,0.47401,0.47483,0.25531,1.38053,0.87647,0.8408,0.000369943,0.000369943,0.000369943
81,540.086,1.17125,0.67727,0.88436,0.61395,0.54668,0.56128,0.29526,1.29055,0.82327,0.82769,0.000371581,0.000371581,0.000371581
82,543.051,1.15502,0.6747,0.8329,0.61395,0.54668,0.56128,0.29526,1.29055,0.82327,0.82769,0.000373142,0.000373142,0.000373142
83,550.169,1.12286,0.65889,0.84882,0.61395,0.54668,0.56128,0.29526,1.29055,0.82327,0.82769,0.000374628,0.000374628,0.000374628
84,558.707,1.37077,0.82606,0.83406,0.68137,0.56929,0.62882,0.31751,1.21938,0.77835,0.82039,0.000376037,0.000376037,0.000376037
85,564.903,1.59734,0.98035,0.83439,0.68137,0.56929,0.62882,0.31751,1.21938,0.77835,0.82039,0.00037737,0.00037737,0.00037737
86,576.74,1.35658,0.80138,0.83092,0.68137,0.56929,0.62882,0.31751,1.21938,0.77835,0.82039,0.000378627,0.000378627,0.000378627
87,588.384,1.237,0.68815,0.84247,0.68137,0.56929,0.62882,0.31751,1.21938,0.77835,0.82039,0.000379808,0.000379808,0.000379808
88,595.557,1.11701,0.66845,0.84166,0.79994,0.53234,0.64224,0.32465,1.24438,0.82685,0.82063,0.000380912,0.000380912,0.000380912
89,603.99,1.28203,0.71528,0.83151,0.79994,0.53234,0.64224,0.32465,1.24438,0.82685,0.82063,0.000381941,0.000381941,0.000381941
90,611.826,1.28776,0.69813,0.82058,0.79994,0.53234,0.64224,0.32465,1.24438,0.82685,0.82063,0.000382893,0.000382893,0.000382893
91,623.885,1.25326,0.73953,0.817,0.79994,0.53234,0.64224,0.32465,1.24438,0.82685,0.82063,0.000383769,0.000383769,0.000383769
92,637.567,1.20791,0.71072,0.84173,0.76876,0.49875,0.61067,0.30377,1.39166,0.82508,0.83365,0.00038457,0.00038457,0.00038457
93,639.112,1.18115,0.65692,0.83115,0.76876,0.49875,0.61067,0.30377,1.39166,0.82508,0.83365,0.000385294,0.000385294,0.000385294
94,646.49,1.20817,0.65006,0.82497,0.76876,0.49875,0.61067,0.30377,1.39166,0.82508,0.83365,0.000385941,0.000385941,0.000385941
95,648.454,1.17507,0.66689,0.87143,0.76876,0.49875,0.61067,0.30377,1.39166,0.82508,0.83365,0.000386513,0.000386513,0.000386513
96,650.68,1.1223,0.61106,0.83561,0.48961,0.50724,0.58246,0.29412,1.40745,1.15997,0.83237,0.000387009,0.000387009,0.000387009
97,656.75,1.2388,0.72992,0.81715,0.48961,0.50724,0.58246,0.29412,1.40745,1.15997,0.83237,0.000387428,0.000387428,0.000387428
